,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de terreno,Superficie edificable,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Superficie total,Superficie mínima en venta,Acceso,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,52,,,Si,,,valladolid,Si,,,,Eléctrica,,urbanizable,64 m2,Terrazo,,,,,1985,,,Ladrillo,,,,Exento,1000 m2,1000 m2,Camino de tierra,,,"5,00 €",52,,,,,Noroeste,,,Mas de 25 Años,,,,2,1,,,43000,Si,A reformar
1,,181,3,Si,,Gas natural,,valladolid,Si,4,,,Gas Natural,3,,,Tarima Flotante,,,,Si,2016,Si,4,Ladrillo,,,,,,,,,,,155,Si,Si,,Si,Oeste,,,Entre 5 y 10 Años,,,,3,3,,,235000,Si,Perfecto Estado
2,,350,3,,Si,Gas natural,,valladolid,Si,2,,,Suelo Radiante,6,,,Gres,,,,,2008,Si,5,Ladrillo,Si,,,,,,,,,"38,00 €",280,,,,Si,Noroeste,,,Entre 15 y 20 Años,,,,5,4,,,371000,Si,Perfecto Estado
3,,612,2,,Si,Individual,,valladolid,Si,1,,,Gasóleo,16,,,Gres,,,,,2000,Si,9,Ladrillo,,,,,,,,,,,490,,,,Si,Sur,,,Entre 20 y 25 Años,,,,9,3,Si,,613000,Si,Perfecto Estado
4,,235,2,,,Individual,,valladolid,Si,,,,Gasóleo,6,,,Terrazo,,,,Si,1968,,,Ladrillo,,,,,,,,,,,,,,,Si,Suroeste,,,Más de 50 años,,,,3,1,,,A consultar,,A reformar
5,Si,125,7,,,Individual,,valladolid,Si,1,,,Individual,,,,Terrazo,,,,,1863,,1,Ladrillo,,28,,,,,,Si,,"60,00 €",100,,,,,Sur,,,Más de 50 años,,,,4,1,,,135000,,A reformar
6,Si,114,12,,,Central,,valladolid,Si,2,,,Central,1,,,Gres,Si,,,,1974,Si,,Otros materiales,,45,,,,,,Si,,"91,00 €",,,,,,Suroeste,,,Más de 50 años,,,,4,2,,,220000,,A reformar
7,Si,178,4,,,Individual,,valladolid,Si,1,,,Individual,1,,,Parquet,,,,,1940,,6,Ladrillo,,12,,,,,,Si,,"140,00 €",144,Si,Si,,,Suroeste,,,Más de 50 años,,,,6,2,Si,,A consultar,Si,Perfecto Estado
