,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de terreno,Superficie edificable,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Superficie total,Superficie mínima en venta,Acceso,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
40,Si,73,,Si,,Individual,1 KW h/m² año,zaragoza,Si,1,,,,,,,Terrazo,,,,,1930,,,,,,,,,,,Si,,"38,00 €",67,,,,,Este,,,Más de 50 años,,,,3,1,,1 Kg CO2/m² año,62000,Si,A reformar
41,,48,4,,,Individual,,zaragoza,Si,,,,Eléctrica,,,,Gres,,,,,1960,,,,,4,,,,,,,,,42,,Si,,,Sur,,,Entre 35 y 50 Años,,,,2,1,,,64900,,Perfecto Estado
42,,74,4,,,Individual,,zaragoza,Si,,,,Individual,,,,Otros,,,,,1936,,,,,12,,,,,,Si,,"70,00 €",67,,,,,,,,Más de 50 años,,,,4,1,,,65000,,A reformar
43,,60,,,,Individual,,zaragoza,Si,1,,,Individual,,,,Terrazo,,,,,2000,,,,,,,,,,,,,,49,,,,,,,,Entre 20 y 25 Años,,,,1,1,,,65000,Si,Perfecto Estado
44,,50,,Si,,Individual,,zaragoza,,,,,,,,,Otros,,,,,1962,,,,,,,,,,,,,"30,00 €",45,,,,,Sureste,,,Más de 50 años,,,,2,1,,,65000,,A reformar
45,,70,5,,,Individual,,zaragoza,Si,1,,,Gas Natural,,,,Sintasol,,,,,1964,,2,Ladrillo,,10,,,,,,,,"30,00 €",62,Si,Si,,,,,,Más de 50 años,,,,2,1,,,65500,Si,Perfecto Estado
46,,53,,,,,,zaragoza,Si,,,,Individual,,,,Baldosa,,,,,1960,,,,,,,,,,,,,,48,,,,,,,,,,,,2,1,,,65900,,Depende del precio
47,,54,,,,Individual,,zaragoza,,,,,Eléctrica,,,,Gres,,,,,1962,,,,,,,,,,,,,"30,00 €",40,,,,,Noreste,,,Más de 50 años,,,,2,1,,,66000,,
48,,56,,,,Individual,,zaragoza,Si,1,,,Individual,,,,Terrazo,,,,,1970,,,Ladrillo,,,,,,,,Si,,"50,00 €",45,,,,,Este,,,Mas de 25 Años,,,,2,1,,,66000,,A reformar
49,,65,4,,,,,zaragoza,,,,,,,,,Terrazo,,,,,1973,,,,,8,,,,,,,,"40,00 €",60,,,,,,,,Entre 35 y 50 Años,,,,2,1,,,69900,,Depende del precio
50,,77,4,,,,,zaragoza,Si,1,,,Individual,,,,Gres,,,,,1965,,,,,,,,,,,,,"39,00 €",71,,,,,,,,Entre 35 y 50 Años,,,12,3,1,,,71900,Si,Depende del precio
51,,53,2,,,Individual,,zaragoza,,1,,,Individual,,,,Baldosa,,,,,1966,,,,,,,,,,,Si,,"40,00 €",50,Si,,,,,,,Más de 50 años,,,,2,1,,,72000,,
52,,59,,,,Gas natural,,zaragoza,Si,1,,,Gas Natural,,,,Gres,,,,,1970,,,Ladrillo,Si,,,,,,,Si,,,52,,,,,Este,,,,,,,2,1,,,75000,,A reformar
53,,53,,,,Individual,,zaragoza,Si,,,,Eléctrica,,,,Sintasol,,,,,1966,,,,,,,,,,,Si,,"42,00 €",43,Si,,,,,,,,,,,2,1,,,79000,Si,A reformar
54,,66,11,,,,,zaragoza,,1,,,Central,,,,Baldosa,,,,,1969,,,,,4,,,,,,Si,,"100,00 €",57,,,,,Sur,,,Más de 50 años,,,,3,1,,,82000,,A reformar
55,Si,84,7,,,Gas natural,,zaragoza,Si,,,,Individual,,,,Terrazo,,,,,1979,,,,,28,,,,,,Si,,"60,00 €",76,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,84900,,Depende del precio
56,Si,65,,,,,,zaragoza,,,,,,,,,,,,,,1971,,,,,,,,,,,Si,,,63,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,85000,Si,Perfecto Estado
57,,78,4,,,,,zaragoza,Si,2,,,Individual,,,,Terrazo,,,,,1972,,,,,12,,,,,,,,"70,00 €",74,,,,,Noreste,,,Entre 35 y 50 Años,,,,3,1,Si,,89900,,Depende del precio
58,,138,,,,Central,,zaragoza,Si,,,,Central,1,,,Tarima normal,,,,,2005,,,,,,,,,,,Si,,"68,00 €",100,Si,,,Si,,,,,,,,2,1,Si,,89900,Si,Perfecto Estado
59,,75,,,,Central,,zaragoza,Si,,,,Central,,,,Gres,,,,,1967,,,,,,,,,,,Si,,"97,00 €",73,,,,,,,,Más de 50 años,,,,3,1,,,95000,,Depende del precio
60,,75,,,,Individual,,zaragoza,Si,,,,,,,,,,,,,1963,,,,,,,,,,,Si,,,71,,,,,,,,,,,,3,1,,,95000,,A reformar
61,,60,,,,Individual,,zaragoza,Si,1,,,Eléctrica,,,,Gres,,,,,1970,,,Ladrillo,,,,,,,,Si,,,51,Si,,,,,,,,,Si,,2,1,Si,,99900,Si,Perfecto Estado
62,Si,58,,,,Individual,,zaragoza,Si,1,,,Central,,,,,Si,,,,1945,,,,,,,,,,,Si,,"73,00 €",47,,Si,,,Oeste,,,Más de 50 años,,Si,,1,1,,,99900,,
63,,79,,,,Individual,,zaragoza,,,,,Individual,,,,Terrazo,,,,,1976,,,,,,,,,,,Si,,"50,00 €",72,,Si,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,101000,Si,Perfecto Estado
64,Si,62,7,,,Individual,,zaragoza,Si,1,,,Eléctrica,,,,Parquet,,,,,1961,,,,,25,,,,,,Si,,"54,00 €",54,,Si,,,Este,,,Más de 50 años,,,,2,1,,,106000,Si,Perfecto Estado
65,,63,,,,Central,,zaragoza,,1,,,Central,1,,,,,,,,1975,,,,,,,,,,,Si,,"115,00 €",55,,Si,,,Este,,,Más de 50 años,,,,3,1,,,107000,,Perfecto Estado
66,,78,,,,Individual,,zaragoza,,1,,,Individual,,,,Terrazo,,,,,1969,,1,Ladrillo,,,,,,,,Si,,"53,00 €",,,,,,Sur,,,Entre 35 y 50 Años,,,,3,1,,,117000,,A reformar
67,,62,,,,Individual,,zaragoza,Si,,,,Individual,,,,Parquet,,,,,1962,,,Ladrillo,,,,,,,,Si,,"51,00 €",57,,,,,Sureste,,,Más de 50 años,,,,2,1,,,119900,,Perfecto Estado
68,,80,,Si,,Individual,269 KW h/m² año,zaragoza,Si,1,,,Individual,,,,Gres,,,,,,,,Ladrillo,,,,,,,,Si,,"49,00 €",70,Si,Si,,,Noreste,,,Entre 35 y 50 Años,,,,3,1,,49 Kg CO2/m² año,119900,Si,Perfecto Estado
69,,70,7,,,Individual,,zaragoza,Si,,,,Individual,,,,Baldosa,,,,,1970,,,Ladrillo,,,,,,,,Si,,"42,91 €",67,Si,,,,,,,Más de 50 años,,,,3,1,,,119900,Si,A reformar
