,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,273,2,,,Individual,,cuenca,Si,,,,,,Baldosa,,,Si,1940,,,Otros materiales,,,,,,,,219,,,,Si,Sur,,,,,,,6,2,,,35000,,
1,,62,1,Si,Si,Individual,,cuenca,Si,,Si,,Eléctrica,4,Gres,,,,2011,Si,,Mono Capa,Si,,,,,,,57,Si,,,Si,,,,Entre 10 y 15 Años,,,,2,1,,,110000,Si,Perfecto Estado
2,,65,1,Si,Si,,,cuenca,Si,,Si,,Eléctrica,4,Gres,,,,2011,Si,,Mono Capa,Si,,,,,,,57,,,,,,,,Entre 15 y 20 Años,,,,2,1,,,95000,,Perfecto Estado
