,Ascensor,Metros,Año de construcción,Acceso minusválidos,Metros útiles,Dormitorios,Agua caliente,provincia,Baños,Exterior,Trastero,Orientación,Amueblado,Calefacción,Precio,Antigüedad,Cocina equipada,Número de terrazas,Garajes,Tipo de suelo,Tipo de fachada,Circuito cerrado de seguridad,Puerta de seguridad,Aire acondicionado,Estado
0,Si,142,1974,Si,120,3,Central,albacete,2,Si,Si,Oeste,Si,Central,249000,Mas de 25 Años,Si,,,,,,,,
1,Si,137,1974,Si,136,3,Individual,albacete,2,Si,,Noreste,Si,Individual,250000,,Si,1,1,Parquet,Piedra,Si,,,
2,Si,96,1987,Si,95,3,Individual,albacete,2,,,,Si,Individual,A consultar,,Si,,,Parquet,Ladrillo,Si,Si,Si,Perfecto Estado
