,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,Si,120,10,Si,,Gas natural,,lleida,Si,1,,,Gas Natural,,,,,,,1977,,,Piedra,,9,,,Si,,,105,Si,,,,,,,Entre 35 y 50 Años,,,,4,2,,,155000,Si,Perfecto Estado
1,,465,3,Si,Si,Gas natural,,lleida,Si,2,,,Gas Natural,2,Parquet,,,,,1932,Si,,Piedra,Si,,,,,,,465,Si,,,Si,,,,Más de 50 años,,Si,,9,3,,,699000,Si,Perfecto Estado
